Train_num(No.),Ori_file_num(No.),Train_start(s),Train_end(s),Train_duration(ms),Num_of_pulses,Mean_SNR(dB),Mean_IPI(ms),Mean_SPLpp(dB),Mean_Duration(μs),Mean_Fpeak(kHz),Mean_Bandwidth_-3dB(kHz),Mean_Bandwidth_-10dB(kHz)
1,1,1631.0973,1631.1532,55.86,8,19.6,7.93,145.55,160.02,39.38,10.14,48.54
2,5,190.8192,191.8563,1037.11,93,34.4,11.22,147.36,54.61,49.82,21.16,40.39
3,6,1122.9183,1123.009,90.7,8,52.6,12.89,167.08,79.25,70.59,38.68,85.95
4,6,1276.341,1276.7285,387.54,44,48.1,8.93,164.61,57.66,40.31,25.67,54.59
5,6,1487.7401,1488.1118,371.73,69,42.5,5.45,152.19,90.03,55.59,8.85,62.63
6,6,1605.321,1605.5069,185.88,15,41.2,13.08,155.56,89.45,49.67,12.51,27.99
7,8,1344.443,1345.3124,869.41,57,54,15.41,167.78,61.52,42.17,29.15,60.43
8,10,351.6915,352.7461,1054.68,75,54,14.25,162.18,62.25,74.78,22.5,97.94
9,10,353.7,354.7046,1004.59,79,52.1,12.76,157.58,82.63,57.32,26.98,79.03
10,17,1646.4629,1646.4742,11.27,3,26.7,5.54,152.44,130.21,60.75,7.31,48.19
11,23,52.079,52.9426,863.59,88,29.7,9.79,137.8,98.65,30.59,21.83,42.68
12,23,66.921,67.4882,567.2,65,35.2,8.52,142.79,89.82,50.78,26.11,59.76
13,24,636.744,637.5188,774.82,62,29,12.45,138.62,103.56,51.06,23.48,50.15
14,25,534.696,535.0834,387.43,56,29.9,6.99,139.83,110.39,29.51,18.89,37.17
15,26,631.4237,631.5073,83.64,7,40.8,13.91,153.6,91.52,72.4,9.16,72.8
