Train_num(No.),Ori_file_num(No.),Train_start(s),Train_end(s),Train_duration(ms),Num_of_pulses,Mean_SNR(dB),Mean_IPI(ms),Mean_SPLpp(dB),Mean_Duration(μs),Mean_Fpeak(kHz),Mean_Bandwidth_-3dB(kHz),Mean_Bandwidth_-10dB(kHz)
1,4,1591.6738,1591.7458,72.03,21,29.3,3.59,140.32,97.64,43.21,12.83,50.54
2,5,766.9934,767.1341,140.7,35,33.7,4.05,144.63,61.01,67.94,29.47,128.87
3,6,1123.0583,1123.1349,76.63,22,48.1,3.64,161.1,86.77,75.42,23.08,89.31
4,6,1123.42,1123.4779,57.9,38,43.4,1.56,163.62,90.51,71.56,17.34,83.44
5,6,1123.6415,1123.7051,63.61,40,43,1.63,162.54,85.49,74.48,12.29,88.56
6,6,1123.7317,1123.7898,58.05,36,45.2,1.64,164.05,82.61,75.79,12.76,83.84
7,6,1123.9888,1124.0347,45.89,33,43.1,1.42,160.04,81.38,78.94,12.3,101.16
8,6,1124.5084,1124.5755,67.13,43,42.5,1.58,161.47,79.04,54.16,19.03,76.41
9,6,1124.6932,1124.7633,70.14,44,43.3,1.61,167.05,92.04,76.39,15.14,83.16
10,6,1124.8859,1124.9601,74.19,46,47.1,1.64,166.26,91.95,85.7,12.33,84.03
11,6,1148.0261,1148.0699,43.85,26,42.9,1.75,160.34,78.86,61.52,31.47,92.56
12,6,1148.1989,1148.2484,49.47,29,51.2,1.76,163.49,48.07,40.93,27.43,82.69
13,6,1148.3633,1148.4426,79.32,44,40.4,1.83,154.1,83.76,36.77,18.83,53.4
14,6,1148.808,1148.8174,9.44,6,45.5,1.85,162.93,75.28,61.71,23.67,107.18
15,6,1148.8672,1148.9451,77.92,42,41.1,1.88,155.55,93.16,38.08,20.72,66.61
16,6,1149.2619,1149.3122,50.28,23,52.2,2.28,167.47,91.71,72,18.64,88.73
17,6,1149.4443,1149.459,14.72,9,62.6,1.81,169.74,102.82,74.5,9.75,70.88
18,6,1149.4698,1149.507,37.22,21,43.9,1.85,161.68,97.57,69.24,20.45,80.35
19,6,1149.6333,1149.6834,50.09,28,51,1.85,167.66,93.69,87.57,15.47,83.97
20,6,1151.6736,1151.742,68.42,43,49,1.62,165.37,73.17,81.17,18.45,98.59
21,6,1151.9468,1151.961,14.2,9,49.3,1.75,170.68,39.16,99.25,21.25,108.88
22,6,1151.9937,1152.0705,76.82,45,52.6,1.74,171.05,60.63,85.75,13.23,92.15
23,6,1152.2522,1152.3235,71.26,41,54.2,1.72,171.61,62.26,84.49,14.01,111.43
24,6,1165.5617,1166.0812,519.45,167,48.5,3.1,159.59,93.7,91.06,14.24,119.49
25,6,1210.3098,1210.3938,84.03,56,40.5,1.52,154.07,82.09,93.25,12.41,70.34
26,6,1210.5846,1210.6791,94.53,54,40.1,1.73,154.5,79.4,66.29,10.07,35.17
27,6,1210.772,1210.8239,51.93,29,37.8,1.85,151.47,74.58,87.16,12.52,60.31
28,6,1211.0714,1211.1635,92.07,51,41.2,1.84,156.51,74.64,81.09,12.53,67.78
29,6,1211.2979,1211.3546,56.78,30,43.5,1.95,156.05,75.58,82.99,9.17,53.81
30,6,1211.4693,1211.5524,83.07,43,46,1.97,158.6,64.52,83.56,10.19,69.25
31,6,1211.6737,1211.7453,71.59,37,44.5,1.98,156.04,67.66,71.26,17.97,44.27
32,6,1211.868,1211.9358,67.88,33,41.1,2.11,154.76,73.55,69.17,8.06,16.53
33,6,1270.7404,1271.0117,271.26,162,44.1,1.68,162.19,97.42,72.3,15.6,82.38
34,6,1271.1013,1271.1665,65.24,41,42.8,1.63,155.5,101.95,78.44,11.2,61.82
35,6,1271.281,1271.3072,26.12,16,54.4,1.73,166.65,94.29,80.09,15.47,81.53
36,6,1271.344,1271.3642,20.24,12,56.9,1.82,164.04,90.57,93.75,15.23,80.62
37,6,1271.4964,1271.5457,49.28,29,44.5,1.75,155.07,94.83,94.48,9.97,94.02
38,6,1271.6705,1271.7498,79.27,30,43.3,2.73,158.72,106.54,52.17,15.07,88.5
39,6,1271.8893,1271.9001,10.81,7,46.5,1.77,162.8,98.46,55.85,13.9,80.6
40,6,1271.947,1271.9595,12.52,8,52.5,1.76,163.57,95.7,67.22,10.69,89.3
41,6,1272.3899,1272.4407,50.84,23,46.5,2.3,161.62,101.79,68.39,12.2,82.7
42,6,1301.4475,1301.478,30.55,19,31.1,1.69,147.98,121.1,58.26,7.5,44.32
43,6,1336.0081,1336.1037,95.61,58,35.1,1.66,166.65,56.03,88.03,29.1,104.69
44,6,1484.2448,1484.69,445.21,148,43.2,3.03,149.09,92.6,88.86,10.63,66.26
45,6,1485.3385,1485.7671,428.58,169,34.8,2.55,142.39,100.02,79.75,11.55,60.13
46,23,1773.9722,1774.0781,105.85,41,25.6,2.64,135.39,126.9,63.18,13.27,64.75
47,24,638.0197,638.4768,457.05,113,30.3,4.07,138.76,107.53,95.15,14.67,39.42
48,28,347.7796,347.8522,72.64,30,23.9,2.42,139.48,136.66,53.84,26.08,72.87
49,28,615.8173,616.7423,924.97,203,29,4.47,140.99,109.15,57.98,15.28,41.52
50,29,1555.5114,1555.7467,235.32,91,27.2,2.6,143.05,134.88,70.85,9.54,33.57
