Train_num(No.),Ori_file_num(No.),Train_start(s),Train_end(s),Train_duration(ms),Num_of_pulses,Mean_SNR(dB),Mean_IPI(ms),Mean_SPLpp(dB),Mean_Duration(μs),Mean_Fpeak(kHz),Mean_Bandwidth_-3dB(kHz),Mean_Bandwidth_-10dB(kHz)
1,1,278.2543,278.7155,461.2,4,30.2,152.99,156.66,38.19,58.33,57.21,103.42
2,1,296.8332,297.3997,566.51,9,33,70.4,163.5,46.96,98.07,40.33,114.6
3,1,360.1263,360.5878,461.45,3,32.7,230.62,158.07,33.54,118.17,36.26,83.98
4,1,845.5986,845.7011,102.55,5,29.2,25.59,158.59,61.46,120.83,47.14,120.15
5,1,846.5383,846.5898,51.44,3,27.2,25.62,154.28,87.38,38.25,16.88,106.31
6,1,973.9433,974.2491,305.82,6,49.5,61.12,177.29,41.38,86.72,29.16,89.44
7,1,974.6404,975.4858,845.39,23,35.6,38.39,177.67,51.08,73.46,26.78,90.72
8,1,977.0575,977.66,602.47,15,35.6,43.02,175.9,48.4,58.05,26.64,104.94
9,1,978.0215,978.2655,243.98,7,38.6,40.5,179.67,43.4,107.97,31.08,108.05
10,1,1000.4539,1001.0202,566.3,15,33.7,40.25,175.63,63.65,113.47,46.55,136.39
11,1,1006.8283,1007.2333,404.99,11,46.7,40.48,178.07,23.99,100.48,52.98,142.93
12,1,1551.3797,1551.4678,88.11,5,21.8,21.98,157.28,77.43,90.79,10.8,29.81
13,1,1551.9433,1552.0044,61.09,4,41.1,20.3,153.48,50.78,75.8,26.58,51.75
14,1,1763.8884,1764.3152,426.8,9,41,53.32,164.94,55.7,79.91,23.05,101.7
15,1,1764.5927,1765.6937,1100.95,14,37.9,84.67,157.43,43.53,86.1,28.29,114.79
16,1,1789.4539,1790.2922,838.29,6,38.7,167.62,163.83,35.01,110.37,37.86,97.32
17,1,1794.8136,1798.3084,3494.78,28,39.9,129.43,162.35,46.94,86.77,30.74,80.7
18,2,0.0471,1.1495,1102.36,13,56,91.85,163.76,52.75,84.68,16.36,91.38
19,2,2.2068,7.2216,5014.75,73,49,69.44,159.13,55.56,75.73,15.36,80.12
20,2,10.5233,17.8348,7311.42,113,54.7,65.28,168.77,52.73,86.85,18.59,84.98
21,2,25.5698,26.8399,1270.07,23,51.4,57.72,163.45,52.91,94.57,18.44,64.76
22,2,56.2976,59.0688,2771.23,35,56.4,81.46,170.62,52.38,80.29,15.77,36.43
