Whistle Number (No.),Original Audio File (No.)  ,Whistle Begins (s),Type,Quality Grade,Duration (ms),Start Frequency (kHz),End Frequency (kHz),Frequcncy Change (kHz),Absolute Frequency Gradient (kHz/s),Minimum Frequency (kHz),Maximum Frequency (kHz),Delta Frequency (kHz),No. Local Extrema,No. Inflection Point,No. Saddle Point,No. Break,Harmonic (Y/N)
1,1,1758.166,Sinusoidal,3,211.8,4.67,4.93,0.26,1.23,2.19,4.93,2.74,3,3,1,1,Y
2,2,80.936,Constant,3,312.1,5.1,4.84,0.26,0.83,4.59,5.19,0.6,0,0,0,0,Y
3,3,863.742,Downsweep,3,292.1,3.32,0.88,2.44,8.35,0.88,3.32,2.44,0,0,0,1,Y
4,4,820.585,Concave,2,21.4,12,13.8,1.8,84.11,11.24,13.8,2.56,1,0,0,0,Y
5,5,1124.541,Upsweep,2,142.6,3.56,10.89,7.33,51.4,3.56,10.89,7.33,0,0,0,1,Y
6,6,852.461,Convex,3,524,3.7,4.39,0.69,1.32,3.56,8.06,4.5,1,2,0,1,Y
7,6,853.56,Sinusoidal,2,309,5.15,5.91,0.76,2.46,4.32,9.3,4.98,3,2,0,1,Y
8,6,856.337,Convex,1,-,-,-,-,-,-,-,-,-,-,-,-,-
9,6,860.707,Convex,2,405.7,4.32,4.81,0.49,1.21,4.32,7.78,3.46,1,0,0,0,Y
10,6,872.167,Downsweep,2,281.4,9.23,5.43,3.8,13.5,4.25,9.23,4.98,1,0,0,0,N
11,6,910.742,Constant,1,-,-,-,-,-,-,-,-,-,-,-,-,-
12,6,911.01,Upsweep,1,-,-,-,-,-,-,-,-,-,-,-,-,-
13,6,911.795,Constant,3,51.2,5.36,5.29,0.07,1.37,5.29,5.36,0.07,0,0,0,0,N
14,6,920.506,Constant,2,381.2,4.88,3.91,0.97,2.54,3.82,4.45,0.63,0,0,0,0,N
15,6,1055.933,Constant,1,-,-,-,-,-,-,-,-,-,-,-,-,-
16,6,1128.932,Constant,2,51.2,4.81,4.81,0,0,4.25,4.81,0.56,0,0,0,0,Y
17,6,1174.298,Sinusoidal,3,106.4,4.32,10.55,6.23,58.55,4.18,10.55,6.37,2,2,1,0,Y
18,6,1174.68,Concave,3,101.1,7.23,6.88,0.35,3.46,3.35,7.23,3.88,1,1,0,0,Y
19,6,1175.955,Upsweep,1,-,-,-,-,-,-,-,-,-,-,-,-,-
