file_num,audio_file,duration_min,n_bags,positive_bags,total_train_sec
1,Ori_Recording_01.wav,30.0,29,6,4.82
2,Ori_Recording_02.wav,30.0,29,21,136.98
3,Ori_Recording_03.wav,30.0,29,5,9.15
4,Ori_Recording_04.wav,30.0,29,6,9.8
5,Ori_Recording_05.wav,30.0,29,10,10.39
6,Ori_Recording_06.wav,30.0,29,15,76.87
7,Ori_Recording_07.wav,30.0,29,6,18.47
8,Ori_Recording_08.wav,30.0,29,12,68.06
9,Ori_Recording_09.wav,30.0,29,19,29.52
10,Ori_Recording_10.wav,29.1,29,19,137.83
11,Ori_Recording_11.wav,12.8,12,4,24.17
13,Ori_Recording_13.wav,30.0,29,8,16.1
14,Ori_Recording_14.wav,30.0,29,13,86.86
15,Ori_Recording_15.wav,17.4,17,3,9.26
16,Ori_Recording_16.wav,30.0,29,7,22.83
17,Ori_Recording_17.wav,30.0,29,14,32.92
18,Ori_Recording_18.wav,30.0,29,4,4.99
19,Ori_Recording_19.wav,30.0,29,8,9.76
20,Ori_Recording_20.wav,30.0,29,5,10.14
21,Ori_Recording_21.wav,30.0,29,16,53.35
22,Ori_Recording_22.wav,30.0,29,17,23.04
23,Ori_Recording_23.wav,30.0,29,8,15.11
24,Ori_Recording_24.wav,30.0,29,13,14.37
25,Ori_Recording_25.wav,30.0,29,11,15.73
26,Ori_Recording_26.wav,30.0,29,3,0.5
27,Ori_Recording_27.wav,30.0,29,2,3.15
28,Ori_Recording_28.wav,30.0,29,6,16.5
29,Ori_Recording_29.wav,30.0,29,18,90.45
30,Ori_Recording_30.wav,30.0,29,12,28.43
31,Ori_Recording_31.wav,30.0,29,8,21.47
32,Ori_Recording_32.wav,30.0,29,6,12.74
33,Ori_Recording_33.wav,30.0,29,1,1.87
34,Ori_Recording_34.wav,30.0,29,2,2.66
35,Ori_Recording_35.wav,30.0,29,2,4.03
