file_no,total_bags,whistle_bags,pulse_bags,negative_bags
1,60,1,9,51
2,60,1,31,29
3,60,1,5,55
4,60,1,7,53
5,60,1,11,49
6,60,7,25,35
7,60,1,6,53
8,60,8,18,41
9,60,1,21,39
10,60,1,26,34
11,60,4,4,54
12,60,1,0,59
13,60,2,10,49
14,60,8,22,35
15,60,0,5,55
16,60,1,11,48
17,60,1,19,41
18,60,0,4,56
19,60,3,8,51
20,60,0,6,54
21,60,0,22,38
22,60,0,25,35
23,60,0,14,46
24,60,0,15,45
25,60,0,16,44
26,60,0,3,57
27,60,2,2,56
28,60,0,11,49
29,60,0,28,32
30,60,0,13,47
31,60,0,13,47
32,60,0,9,51
33,60,0,1,59
34,60,0,2,58
35,60,0,2,58
