file,file_num,total_seconds,num_bags,positive_bags,negative_bags,positive_ratio
Ori_Recording_01.wav,1,1799.44,89,9,80,0.1011
Ori_Recording_02.wav,2,1799.95,89,41,48,0.4607
Ori_Recording_03.wav,3,1799.97,89,6,83,0.0674
Ori_Recording_04.wav,4,1799.93,89,8,81,0.0899
Ori_Recording_05.wav,5,1799.95,89,12,77,0.1348
Ori_Recording_06.wav,6,1799.86,89,29,60,0.3258
Ori_Recording_07.wav,7,1799.94,89,7,82,0.0787
Ori_Recording_08.wav,8,1799.95,89,21,68,0.236
Ori_Recording_09.wav,9,1799.28,89,30,59,0.3371
Ori_Recording_10.wav,10,1748.68,87,37,50,0.4253
Ori_Recording_11.wav,11,769.32,38,6,32,0.1579
Ori_Recording_12.wav,12,1799.35,89,0,89,0.0
Ori_Recording_13.wav,13,1798.44,89,11,78,0.1236
Ori_Recording_14.wav,14,1798.51,89,27,62,0.3034
Ori_Recording_15.wav,15,1044.33,52,3,49,0.0577
Ori_Recording_16.wav,16,1799.54,89,13,76,0.1461
Ori_Recording_17.wav,17,1799.96,89,25,64,0.2809
Ori_Recording_18.wav,18,1797.97,89,4,85,0.0449
Ori_Recording_19.wav,19,1797.97,89,9,80,0.1011
Ori_Recording_20.wav,20,1799.36,89,7,82,0.0787
Ori_Recording_21.wav,21,1799.74,89,26,63,0.2921
Ori_Recording_22.wav,22,1799.97,89,29,60,0.3258
Ori_Recording_23.wav,23,1799.96,89,14,75,0.1573
Ori_Recording_24.wav,24,1799.88,89,17,72,0.191
Ori_Recording_25.wav,25,1799.97,89,18,71,0.2022
Ori_Recording_26.wav,26,1799.97,89,3,86,0.0337
Ori_Recording_27.wav,27,1799.97,89,2,87,0.0225
Ori_Recording_28.wav,28,1799.98,89,12,77,0.1348
Ori_Recording_29.wav,29,1797.9,89,35,54,0.3933
Ori_Recording_30.wav,30,1799.4,89,16,73,0.1798
Ori_Recording_31.wav,31,1799.85,89,14,75,0.1573
Ori_Recording_32.wav,32,1799.97,89,10,79,0.1124
Ori_Recording_33.wav,33,1797.97,89,1,88,0.0112
Ori_Recording_34.wav,34,1799.6,89,2,87,0.0225
Ori_Recording_35.wav,35,1799.44,89,2,87,0.0225
